# ID  RA  DEC  [Fe/H]_K  [Fe/H]_K_e  K_mean  N_ep  Period  A_tot  C_phi  S/N    
  805  17:20:08.94  -33:39:00.6  -1.240  0.032  15.509    69  0.567529  0.284  0.937  47.2
  807  17:20:11.29  -31:43:21.9  -1.280  0.030  15.249    69  0.605613  0.247  0.930  54.7
  808  17:20:11.55  -33:19:53.6  -1.565  0.036  14.906    69  0.538079  0.237  0.957  75.5
  809  17:20:12.27  -30:58:32.7  -1.354  0.036  14.512    69  0.581132  0.257  0.927  134.6
  810  17:20:12.43  -33:05:07.3  -1.282  0.040  15.206    69  0.544099  0.295  0.902  49.3
  813  17:20:14.06  -32:09:42.5  -1.775  0.067  14.586   130  0.637540  0.253  0.899  81.8
  814  17:20:14.65  -31:20:47.5  -1.399  0.027  13.844    70  0.525842  0.320  0.941  184.4
  815  17:20:14.73  -36:41:23.9  -1.227  0.091  15.204    65  0.470555  0.238  0.928  50.0
  818  17:20:15.07  -31:38:27.0  -1.266  0.020  14.582    69  0.568491  0.271  0.932  104.0
  819  17:20:15.10  -33:50:15.3  -2.082  0.082  15.299   127  0.698306  0.330  0.972  57.4
  822  17:20:16.41  -34:28:35.4  -1.165  0.083  15.438    66  0.463627  0.300  0.948  66.4
  824  17:20:17.32  -33:28:52.1  -1.652  0.065  15.594    69  0.656385  0.269  0.935  43.4
  826  17:20:18.66  -33:02:12.6  -1.258  0.033  15.187    69  0.564503  0.257  0.900  60.5
  827  17:20:18.80  -34:27:24.3  -1.505  0.057  15.077    57  0.754002  0.231  0.927  75.9
  828  17:20:18.88  -34:21:36.7  -1.467  0.033  14.425    66  0.539157  0.328  0.929  122.9
